objectid,nuts318cd,nuts318nm,GDHI_2010,GDHI_2011,GDHI_2012,GDHI_2013,GDHI_2014,GDHI_2015,GDHI_2016,GDHI_2017,GDHI_2018,Growth_2010,Growth_2011,Growth_2012,Growth_2013,Growth_2014,Growth_2015,Growth_2016,Growth_2017,Growth_2018
1,UKC11,Hartlepool and Stockton-on-Tees,3965,4086,4223,4261,4416,4529,4567,4767,5008,2.3,3.1,3.4,0.9,3.6,2.5,0.9,4.4,5.1
2,UKC12,South Teesside,3561,3635,3854,3901,4073,4176,4198,4303,4371,1,2.1,6,1.2,4.4,2.5,0.5,2.5,1.6
3,UKC13,Darlington,1465,1462,1527,1573,1600,1667,1731,1779,1827,0.9,-0.2,4.5,3,1.7,4.2,3.8,2.8,2.7
4,UKC14,Durham CC,6977,7077,7340,7519,7766,8059,8100,8314,8717,3.6,1.4,3.7,2.4,3.3,3.8,0.5,2.6,4.9
5,UKC21,Northumberland,5238,5308,5504,5631,5739,5925,6033,6222,6546,-0.2,1.3,3.7,2.3,1.9,3.2,1.8,3.1,5.2
6,UKC22,Tyneside,11226,11436,12010,12290,12616,13172,13276,13552,14263,3,1.9,5,2.3,2.6,4.4,0.8,2.1,5.2
7,UKC23,Sunderland,3580,3660,3822,3941,3980,4093,4204,4343,4439,2.4,2.2,4.4,3.1,1,2.8,2.7,3.3,2.2
8,UKD11,West Cumbria,3519,3578,3749,3816,3916,4101,4120,4228,4400,2.9,1.7,4.8,1.8,2.6,4.7,0.5,2.6,4.1
9,UKD12,East Cumbria,4584,4603,4781,4969,5106,5296,5347,5524,5785,2.3,0.4,3.9,3.9,2.7,3.7,1,3.3,4.7
10,UKD33,Manchester,5681,5893,6142,6384,6614,7117,7327,7686,8140,2.7,3.7,4.2,3.9,3.6,7.6,3,4.9,5.9
11,UKD34,Greater Manchester South West,7548,7721,8008,8227,8482,9142,9315,9716,10399,0.9,2.3,3.7,2.7,3.1,7.8,1.9,4.3,7
12,UKD35,Greater Manchester South East,7552,7740,8016,8254,8577,9021,9240,9502,10013,2.1,2.5,3.6,3,3.9,5.2,2.4,2.8,5.4
13,UKD36,Greater Manchester North West,8395,8531,8875,9114,9289,9455,9440,9755,10136,1.7,1.6,4,2.7,1.9,1.8,-0.2,3.3,3.9
14,UKD37,Greater Manchester North East,8315,8446,8821,9155,9469,9883,9934,10139,10562,1.5,1.6,4.4,3.8,3.4,4.4,0.5,2.1,4.2
15,UKD41,Blackburn with Darwen,1705,1710,1741,1756,1815,1878,1893,1946,2047,4.1,0.3,1.8,0.8,3.4,3.5,0.8,2.8,5.2
16,UKD42,Blackpool,1857,1919,1935,1960,2010,2079,2123,2158,2227,1.7,3.3,0.8,1.3,2.6,3.4,2.1,1.7,3.2
17,UKD44,Lancaster and Wyre,3593,3661,3759,3886,3992,4121,4156,4320,4477,1,1.9,2.7,3.4,2.7,3.2,0.8,3.9,3.6
18,UKD45,Mid Lancashire,6134,6245,6392,6491,6720,7065,7167,7389,7759,0.6,1.8,2.4,1.6,3.5,5.1,1.4,3.1,5
19,UKD46,East Lancashire,4321,4397,4479,4626,4690,4905,5003,5118,5375,0.8,1.8,1.9,3.3,1.4,4.6,2,2.3,5
20,UKD47,Chorley and West Lancashire,3463,3570,3687,3786,3918,4206,4192,4283,4516,1,3.1,3.3,2.7,3.5,7.3,-0.3,2.2,5.4
21,UKD61,Warrington,3226,3328,3522,3578,3738,4012,3981,4069,4252,1.8,3.2,5.8,1.6,4.5,7.3,-0.8,2.2,4.5
22,UKD62,Cheshire East,6813,6939,7226,7622,7954,8519,8529,8809,9338,0.4,1.8,4.1,5.5,4.4,7.1,0.1,3.3,6
23,UKD63,Cheshire West and Chester,5760,5799,6068,6252,6446,6726,6784,7083,7429,0.2,0.7,4.6,3,3.1,4.3,0.9,4.4,4.9
24,UKD71,East Merseyside,6086,6183,6378,6534,6700,7018,7175,7341,7659,1.3,1.6,3.2,2.4,2.5,4.7,2.2,2.3,4.3
25,UKD72,Liverpool,5950,6077,6335,6559,6794,7133,7248,7488,7842,2.8,2.1,4.2,3.5,3.6,5,1.6,3.3,4.7
26,UKD73,Sefton,4335,4374,4552,4689,4724,4936,4987,5163,5384,1.2,0.9,4.1,3,0.7,4.5,1,3.5,4.3
